id,name,tackles_above_expected
20,FB,0
13,DAL,10.24946140060183
27,MIN,-0.9140448293230468
8,PIT,4.778918351132672
26,GB,-2.9667160278977622
31,SEA,0.934411126626315
6,CHI,-6.7145445684341665
15,TEN,7.437107690754599
29,JAX,-11.66246352941619
9,CLE,-6.773289285384089
33,MIA,4.851137369045308
28,CIN,-2.434575742411835
17,ARI,-9.176453625873062
5,IND,-1.4790187839272508
16,BUF,2.7724666310327066
11,BAL,-2.684915491141773
4,HOU,5.597906717368382
24,SF,2.753091912134271
3,NYJ,-3.196184707358733
19,NE,3.705155324166336
25,NO,-4.46132220642186
32,PHI,-10.046191465203522
12,KC,11.284241941061783
23,LA,3.935318364525405
18,WAS,2.1756404393596065
7,LAC,-6.922744202952481
10,ATL,7.974997813588743
22,NYG,6.655115774136246
14,LV,3.782293698014881
21,TB,3.9877517101103654
34,DET,-3.6397381606015857
30,CAR,-15.207276001080688
2,DEN,1.056055482533595
